LVDT,,Force
0,,0
0,,0.02180385
0.00034191,,0.00726795
0.00034191,,-0.00726795
0.00022794,,-0.0145359
0.00034191,,-0.0145359
0.00034191,,-0.00726795
0.00045588,,0.00726795
0.00022794,,0.00726795
0.00011397,,0.0290718
0,,0.0290718
0.00034191,,0.0581436
0.00022794,,0.0581436
-0.00011397,,0.07510215
0,,0.0823701
0.00011397,,0.0823701
0,,0.08963805
0.00011397,,0.10417395
0.00045588,,0.11870985
0.00034191,,0.1405137
0.00045588,,0.1550496
0.00091176,,0.1550496
0.00068382,,0.1695855
0.00056985,,0.1550496
0.00045588,,0.1841214
0.00011397,,0.1986573
0.00022794,,0.20592525
0.00022794,,0.24468765
0.00011397,,0.27375945
0.00022794,,0.2664915
0.00056985,,0.28829535
0.00068382,,0.3100992
0.00079779,,0.33190305
0.00117769,,0.34643895
0.00091176,,0.3779334
0.00091176,,0.3779334
0.00079779,,0.4215411
0.00091176,,0.4070052
0.00091176,,0.4215411
0.00140563,,0.436077
0.00163357,,0.4506129
0.00163357,,0.48695265
0.0015196,,0.47241675
0.00140563,,0.51117915
0.00117769,,0.54025095
0.00117769,,0.5475189
0.00117769,,0.5620548
0.0015196,,0.5620548
0.00163357,,0.5765907
0.0015196,,0.58385865
0.00117769,,0.5765907
0.00129166,,0.6056625
0.00102573,,0.6201984
0.00129166,,0.65169285
0.00129166,,0.6589608
0.00102573,,0.6347343
0.00102573,,0.62746635
0.00140563,,0.6589608
0.00117769,,0.65169285
0.00117769,,0.66622875
0.00102573,,0.7171044
0.00117769,,0.70983645
0.00117769,,0.7171044
0.00129166,,0.7025685
0.0015196,,0.7025685
0.00140563,,0.70983645
0.0015196,,0.6880326
0.00186151,,0.7025685
0.00208945,,0.7316403
0.00220342,,0.70983645
0.00197548,,0.72437235
0.00197548,,0.7316403
0.00197548,,0.7171044
0.00197548,,0.72437235
0.00220342,,0.69530055
0.00186151,,0.6347343
0.00208945,,0.6347343
0.00220342,,0.6347343
0.00231739,,0.62746635
0.00231739,,0.6444249
0.00231739,,0.66622875
0.00243136,,0.6444249
0.00243136,,0.6734967
0.00220342,,0.6347343
0.00231739,,0.6734967
0.00231739,,0.6734967
0.00220342,,0.6734967
0.00197548,,0.66622875
0.00174754,,0.6589608
0.00174754,,0.68076465
0.00186151,,0.66622875
0.00186151,,0.66622875
0.00163357,,0.68076465
0.00163357,,0.7171044
0.00174754,,0.7171044
0.00163357,,0.7316403
0.00140563,,0.70983645
0.00163357,,0.7171044
0.00163357,,0.7025685
0.00163357,,0.72437235
0.00186151,,0.7171044
0.00163357,,0.72437235
0.00186151,,0.72437235
0.00186151,,0.7316403
0.00174754,,0.72437235
0.00197548,,0.70983645
0.00220342,,0.7025685
0.00186151,,0.68076465
0.00197548,,0.68076465
0.00231739,,0.69530055
0.00208945,,0.7025685
0.00208945,,0.7171044
0.00220342,,0.7171044
0.00243136,,0.70983645
0.00243136,,0.72437235
0.00243136,,0.7025685
0.00231739,,0.7171044
0.00208945,,0.7316403
0.00220342,,0.70983645
0.00220342,,0.72437235
0.00208945,,0.7171044
0.00220342,,0.7025685
0.00220342,,0.7025685
0.00186151,,0.70983645
0.00186151,,0.7025685
0.00186151,,0.70983645
0.00197548,,0.6880326
0.00186151,,0.70983645
0.00197548,,0.72437235
0.00186151,,0.70983645
0.00208945,,0.7171044
0.00231739,,0.6880326
0.00231739,,0.68076465
0.00231739,,0.7025685
0.00231739,,0.68076465
0.00197548,,0.70983645
0.00220342,,0.6880326
0.00208945,,0.68076465
0.00231739,,0.7025685
0.00220342,,0.7025685
0.00220342,,0.7171044
0.00208945,,0.7316403
0.00243136,,0.72437235
0.0026593,,0.72437235
0.00254533,,0.7171044
0.00254533,,0.7171044
0.00254533,,0.7171044
0.00254533,,0.6734967
0.00231739,,0.6734967
0.00231739,,0.68076465
0.00197548,,0.68076465
0.00174754,,0.6734967
0.00163357,,0.66622875
0.00174754,,0.6589608
0.00197548,,0.66622875
0.00197548,,0.68076465
0.00208945,,0.65169285
0.00186151,,0.68076465
0.00220342,,0.69530055
0.00197548,,0.68076465
0.00186151,,0.6734967
0.00220342,,0.6734967
0.00220342,,0.66622875
0.00243136,,0.6444249
0.00277327,,0.68076465
0.00300121,,0.6880326
0.00277327,,0.6734967
0.00254533,,0.68076465
0.00277327,,0.6880326
0.00277327,,0.70983645
0.00277327,,0.70983645
0.00277327,,0.70983645
0.00300121,,0.7171044
0.00300121,,0.70983645
0.00300121,,0.7171044
0.00300121,,0.69530055
0.00311518,,0.69530055
0.00322915,,0.69530055
0.00300121,,0.6880326
0.00254533,,0.7171044
0.00243136,,0.70983645
0.00220342,,0.69530055
0.00220342,,0.6880326
0.00220342,,0.66622875
0.00231739,,0.6589608
0.00231739,,0.6444249
0.00243136,,0.6444249
0.00208945,,0.6201984
0.00208945,,0.6347343
0.00220342,,0.6589608
0.00208945,,0.6347343
0.00220342,,0.6444249
0.00231739,,0.62746635
0.0026593,,0.62746635
0.00277327,,0.6444249
0.00277327,,0.6347343
0.00254533,,0.65169285
0.00254533,,0.6734967
0.00243136,,0.65169285
0.00243136,,0.66622875
0.00254533,,0.6880326
0.00243136,,0.6880326
0.00231739,,0.69530055
0.0026593,,0.7171044
0.00288724,,0.70983645
0.00288724,,0.7171044
0.00277327,,0.7171044
0.00254533,,0.7316403
0.00254533,,0.72437235
0.00243136,,0.70983645
0.00243136,,0.7171044
0.0026593,,0.73890825
0.00243136,,0.7316403
0.00254533,,0.7607121
0.00254533,,0.75344415
0.00254533,,0.7461762
0.00254533,,0.7461762
0.00277327,,0.72437235
0.00300121,,0.73890825
0.00311518,,0.75344415
0.00288724,,0.7607121
0.00300121,,0.78251595
0.00288724,,0.75344415
0.00300121,,0.76798005
0.00300121,,0.76798005
0.00322915,,0.75344415
0.00322915,,0.76798005
0.00300121,,0.76798005
0.00288724,,0.775248
0.00288724,,0.775248
0.00288724,,0.7607121
0.00300121,,0.775248
0.00338111,,0.76798005
0.00338111,,0.76798005
0.00311518,,0.7994745
0.00254533,,0.79220655
0.00243136,,0.7994745
0.0026593,,0.7994745
0.00254533,,0.8140104
0.00277327,,0.7994745
0.0026593,,0.80674245
0.0026593,,0.82127835
0.00277327,,0.8285463
0.00254533,,0.82127835
0.00254533,,0.82127835
0.0026593,,0.8285463
0.00288724,,0.82127835
0.00288724,,0.80674245
0.00322915,,0.83581425
0.00322915,,0.8140104
0.00311518,,0.83581425
0.00322915,,0.83581425
0.00338111,,0.8576181
0.00349508,,0.85035015
0.00322915,,0.86488605
0.00338111,,0.8866899
0.00311518,,0.89395785
0.00349508,,0.9157617
0.00360905,,0.92302965
0.00360905,,0.94725615
0.00360905,,0.96179205
0.00372302,,0.96179205
0.00372302,,0.9835959
0.00360905,,0.97632795
0.00360905,,0.9835959
0.00349508,,0.9981318
0.00322915,,0.9981318
0.00300121,,0.99086385
0.00300121,,0.9835959
0.00288724,,0.99086385
0.00300121,,1.00539975
0.00311518,,1.01993565
0.00322915,,1.0126677
0.00349508,,1.01993565
0.00349508,,1.01993565
0.00372302,,1.03447155
0.00372302,,1.0417395
0.00395096,,1.03447155
0.00429287,,1.0417395
0.00429287,,1.0417395
0.0041789,,1.04900745
0.00406493,,1.0417395
0.00406493,,1.07323395
0.00383699,,1.07323395
0.0041789,,1.0805019
0.00463478,,1.10230575
0.00440684,,1.10230575
0.00406493,,1.11684165
0.00406493,,1.1241096
0.00395096,,1.1095737
0.00395096,,1.1241096
0.00383699,,1.14591345
0.00383699,,1.1386455
0.00395096,,1.14591345
0.00406493,,1.1531814
0.00372302,,1.1677173
0.00360905,,1.1822532
0.00360905,,1.1822532
0.00395096,,1.1822532
0.00360905,,1.17498525
0.00372302,,1.1967891
0.00395096,,1.211325
0.0041789,,1.20405705
0.0041789,,1.211325
0.0041789,,1.2355515
0.00406493,,1.24281945
0.00406493,,1.2500874
0.0041789,,1.27189125
0.00440684,,1.25735535
0.00429287,,1.24281945
