LVDT,Force
0,0
0.00011397,0.00726795
0.00011397,0.0145359
0.00011397,-0.00726795
0.00022794,0
0.00022794,-0.0145359
-0.00011397,-0.0145359
0,-0.0145359
0.00022794,-0.0436077
0.00022794,-0.05087565
0.00022794,-0.05087565
0.00034191,-0.0436077
0.00045588,-0.02180385
0.00034191,-0.02180385
0.00045588,-0.0145359
0.00045588,-0.03633975
0.00034191,-0.03633975
0.00011397,-0.0290718
0,-0.02180385
0.00022794,-0.03633975
0.00034191,-0.0290718
0,-0.03633975
-0.00011397,-0.03633975
0,-0.03633975
0.00045588,-0.00726795
0.00022794,-0.00726795
0.00045588,-0.02180385
0.00056985,-0.0145359
0.00045588,-0.0290718
0.00068382,-0.03633975
0.00102573,-0.02180385
0.00091176,-0.0290718
0.00079779,-0.02180385
0.00034191,-0.0145359
0.00034191,-0.00726795
0.00022794,-0.00726795
0.00011397,0.00726795
0.00034191,0.0145359
0,0
-0.00022794,-0.0145359
0,-0.0145359
0.00011397,-0.0290718
0.00022794,-0.03633975
0.00011397,-0.0290718
0.00011397,-0.02180385
0.00022794,-0.02180385
0.00045588,-0.0145359
0.00056985,0
0.00068382,0
0.00068382,-0.00726795
0.00091176,0
0.00079779,-0.02180385
0.00045588,-0.0145359
0.00056985,-0.0145359
0.00045588,-0.0145359
0.00022794,-0.02180385
0.00034191,-0.02180385
0.00056985,-0.0145359
0.00079779,-0.0290718
0.00034191,-0.00726795
0.00034191,-0.02180385
0.00056985,-0.02180385
0.00034191,-0.00726795
0.00045588,0.00726795
0.00068382,-0.00726795
0.00056985,0.0145359
0.00056985,0
0.00056985,-0.0145359
0.00034191,-0.00726795
0,-0.00726795
0.00011397,0
0.00011397,-0.0145359
0.00011397,0.00726795
0.00011397,0.00726795
0.00022794,0
0.00034191,-0.0145359
0.00034191,-0.02180385
0.00022794,-0.0290718
0.00079779,-0.02180385
0.00091176,-0.0145359
0.00068382,-0.0145359
0.00045588,-0.0290718
0,-0.0145359
0.00034191,0
0.00034191,0
-0.00011397,0.0145359
0.00022794,-0.00726795
0.00034191,-0.0145359
0.00022794,-0.02180385
0.00011397,-0.0290718
0.00022794,-0.0290718
0.00022794,-0.05087565
0.00056985,-0.0436077
0.00056985,-0.02180385
0.00056985,-0.0290718
0.00068382,-0.0290718
0.00091176,-0.03633975
0.00079779,-0.02180385
0.00068382,0
0.00079779,-0.0145359
0.00079779,-0.00726795
0.00056985,0
0.00034191,0
0.00022794,0.02180385
0.00022794,0
0.00056985,-0.02180385
0.00068382,-0.03633975
0.00056985,-0.0145359
0.00079779,-0.0436077
0.00091176,-0.05087565
0.00091176,-0.0290718
0.00079779,-0.00726795
0.00068382,-0.0145359
0.00102573,0.00726795
0.00102573,0.00726795
0.00045588,0
0.00045588,-0.0145359
0.00011397,-0.0290718
0,-0.02180385
0.00056985,-0.02180385
0.00045588,-0.00726795
0.00045588,-0.0290718
0.00045588,-0.03633975
0.00034191,-0.0290718
0.00056985,-0.0436077
0.00068382,-0.02180385
0.00056985,-0.02180385
0.00056985,-0.00726795
0.00045588,-0.0145359
0.00102573,-0.00726795
0.00056985,-0.02180385
0.00045588,-0.00726795
0.00056985,0
0.00045588,-0.00726795
0,-0.0290718
0,-0.0290718
0,-0.02180385
0.00011397,-0.0290718
0.00022794,-0.00726795
0.00034191,-0.02180385
0.00034191,-0.0145359
0.00056985,0
0.00068382,-0.00726795
0.00056985,0
0.00045588,0
0.00056985,-0.00726795
0.00045588,-0.00726795
0.00091176,-0.00726795
0.00034191,0
0.00034191,-0.0145359
0.00022794,-0.00726795
-0.00011397,-0.0145359
0.00011397,-0.0290718
0,-0.0290718
0.00011397,-0.05087565
